id,title,year,author,genre,source_type,source_path,source_url,note
al_petr_kropotkin_the_collapse_of_counter_revolutionary_socialism,The Collapse Of Counter Revolutionary Socialism,1890,Peter Kropotkin,unknown,local_txt,The_Collapse_Of_Counter_Revolutionary_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-collapse-of-counter-revolutionary-socialism.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_coming_war,The Coming War,1913,Peter Kropotkin,unknown,local_txt,The_Coming_War.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-coming-war.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_commune_of_paris,The Commune Of Paris,1880,Peter Kropotkin,unknown,local_txt,The_Commune_Of_Paris.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-commune-of-paris.muse,Anarchist Library download (local file)
pg_23428,The Conquest of Bread,1892,Peter Kropotkin,theory,local_txt,23428-0.txt,https://www.gutenberg.org/ebooks/23428,Project Gutenberg download (local file)
al_petr_kropotkin_the_crisis_of_socialism,The Crisis Of Socialism,1895,Peter Kropotkin,unknown,local_txt,The_Crisis_Of_Socialism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-crisis-of-socialism.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_direct_action_of_environment_and_evolution,The Direct Action Of Environment And Evolution,NA,Peter Kropotkin,unknown,local_txt,The_Direct_Action_Of_Environment_And_Evolution.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-direct-action-of-environment-and-evolution.muse,Anarchist Library download (local file)
al_effects_persecution,The Effects of Persecution,1895,Peter Kropotkin,essays,local_txt,Effects_Persecution.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-effects-of-persecution,Anarchist Library export (local file)
al_petr_kropotkin_the_great_french_revolution_1789_1793,The Great French Revolution 1789 1793,1909,Peter Kropotkin,unknown,local_txt,The_Great_French_Revolution_1789_1793.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-great-french-revolution-1789-1793.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_industrial_village,The Industrial Village,1884,Peter Kropotkin,unknown,local_txt,The_Industrial_Village.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-industrial-village.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_modern_state,The Modern State,1913,Peter Kropotkin,unknown,local_txt,The_Modern_State.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-modern-state.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_new_era,The New Era,1896,Peter Kropotkin,unknown,local_txt,The_New_Era.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-new-era.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_permanence_of_society_after_the_revolution,The Permanence Of Society After The Revolution,1890,Peter Kropotkin,unknown,local_txt,The_Permanence_Of_Society_After_The_Revolution.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-permanence-of-society-after-the-revolution.muse,Anarchist Library download (local file)
pg_31104,The Place of Anarchism in Socialistic Evolution,1887,Peter Kropotkin,essays,local_txt,31104.txt,https://www.gutenberg.org/ebooks/31104,Project Gutenberg download (local file)
al_petr_kropotkin_the_police_cannot_be_the_builders_of_a_new_life,The Police Cannot Be The Builders Of A New Life,1918,Peter Kropotkin,unknown,local_txt,The_Police_Cannot_Be_The_Builders_Of_A_New_Life.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-police-cannot-be-the-builders-of-a-new-life.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_present_crisis_in_russia,The Present Crisis In Russia,1901,Peter Kropotkin,unknown,local_txt,The_Present_Crisis_In_Russia.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-present-crisis-in-russia.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_russian_revolution_and_the_soviet_government_letter_to_the_workers_of_wester,The Russian Revolution And The Soviet Government Letter To The Workers Of Wester,1919,Peter Kropotkin,unknown,local_txt,The_Russian_Revolution_And_The_Soviet_Government_Letter_To_The_Workers_Of_Wester.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-russian-revolution-and-the-soviet-government-letter-to-the-workers-of-wester.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_spirit_of_revolt,The Spirit Of Revolt,1880,Peter Kropotkin,unknown,local_txt,The_Spirit_Of_Revolt.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-spirit-of-revolt.muse,Anarchist Library download (local file)
ws_state_historic_role,The State: Its Historic Role,1903,Peter Kropotkin,essays,local_txt,The_State_Its_Historic_Role.txt,https://en.wikisource.org/wiki/The_State:_Its_Historic_Role,Wikisource export (local file)
al_petr_kropotkin_the_terror_in_russia,The Terror In Russia,1909,Peter Kropotkin,unknown,local_txt,The_Terror_In_Russia.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-terror-in-russia.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_use_of_the_strike,The Use Of The Strike,1890,Peter Kropotkin,unknown,local_txt,The_Use_Of_The_Strike.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-use-of-the-strike.muse,Anarchist Library download (local file)
al_petr_kropotkin_the_wage_system,The Wage System,1920,Peter Kropotkin,unknown,local_txt,The_Wage_System.txt,https://theanarchistlibrary.org/library/petr-kropotkin-the-wage-system.muse,Anarchist Library download (local file)
